"Название";"Адрес";"Описание";"Ссылка";"Время_начала";"Окончание";"Длительность";"Цена"
"Москва";"Часто задаваемые вопросы";"Москва — столица Российской Федерации, крупнейший по численности населения город страны и один из важнейших политических, экономических, культурных и научных центров России и Восточной Европы. Город имеет богатую историю, насчитывающую более 870 лет, и является местом расположения ряда ключевых государственных институтов, включая правительство России и Государственную Думу. Географически Москва расположена на западе России, в центре Восточно-Европейской равнины, в междуречье Оки и Волги, на реке";"https://www.sputnik8.com/ru/moscow/info";"Не указано";"Не указано";"Не указана";"от 1 500 ₽за человека"
"Частный гид по Москве — создайте экскурсию под ваш вкус и интересы";"Адрес не указан";"Турагентство – ваш частный гид по Ярославлю Меня зовут Ольга, я - часть команды творческих гидов Follow Your Guide. Мы делаем авторские прогулки, придумываем маршруты, которые знакомят с городом через людей, смыслы и истории, переосмысляя слово ""экскурсия"". Мы делаем каждую прогулку приключением - уникальным и помогающим по-новому посмотреть на город. Наша цель — чтобы из поездки уезжали с тем, что имеет значение: эмоциями, яркими впечатлениями и открытиями! Здравствуйте! Меня зовут Настя. Я нас";"https://www.sputnik8.com/ru/moscow/private-guides";"Не указано";"Не указано";"Не указана";"Не указана"
"Статьи о Москве";"Часто задаваемые вопросы";"";"https://www.sputnik8.com/ru/moscow/pages";"Не указано";"Не указано";"Не указана";"Не указана"
"Достопримечательности Москвы";"Москва, Ивановская площадь";"Нет единого мнения по поводу того, откуда взялось название «Кремль». Одни утверждают, что у этого слова греческие корни. Другие — что тюркские. Как бы там ни было, значение этого слова — «крепкий», «высокий», «прочный». Нет единого мнения по поводу того, откуда взялось название «Кремль». Одни утверждают, что у этого слова греческие корни. Другие — что тюркские. Как бы там ни было, значение этого слова — «крепкий», «высокий», «прочный». Храм Христа Спасителя — одна из главных достопримечательност";"https://www.sputnik8.com/ru/moscow/sights";"";"Не указано";"Не указана";"Не указана"
"Отзывы об экскурсиях по Москве";"Часто задаваемые вопросы";"";"https://www.sputnik8.com/ru/moscow/reviews";"Не указано";"Не указано";"Не указана";"от 1 600 ₽"
